userName,at,score,Sentimen,content
M Ariva Maulana,12/11/2022 0:26,5,positif,Bagus apknya
TOYOTA Lets Go Beyond,12/11/2022 0:38,1,negatif,Kesel banget livin kuning skrng susah bgt buat akses selalu mental aplikasi mesti berulang2 kali.... Pdahal sering diupdate aplikasi ny
Aliya Mukti,12/11/2022 1:24,1,negatif,Rusak .... Vermuk gak bisa teruss....
dila azs87,12/11/2022 2:17,2,negatif,"Lagi gangguan, ga bisa buat topup dana anjay.. udah semingguan lebih"
I Wayan Suarjaya Suarjaya,12/11/2022 3:05,1,negatif,"Transaksi out saya muncul, masuk?"
Josua Simbolon,12/11/2022 3:19,5,positif,bagus bgt ni aplikasi. bisa semua
Aris Verlando Setiawan,12/11/2022 3:34,1,negatif,Untuk ngirim ke akun dana selalu gk bisa. Mana sekarang transaksi d atas jm 22.00 Gk bisa d gunakan. Makin lama harusny makin bagus bukany makin ancur bgni
syafrizal efendi,12/11/2022 3:36,1,negatif,Aplikasi yang buruk
Anang Setyowahyudi,12/11/2022 4:41,1,negatif,"Top up pulsa gk masuk,, tolong di perbaiki"
Ari Tobulus Tri Berlian Purba,12/11/2022 4:42,1,negatif,Gak bisa daftar untuk akses foto tinggal harap perbaiki lagi yah
ryo soeandhika,12/11/2022 4:46,1,negatif,aplikasi ga jelas masa tiap mau login selalu salah password sma disuru bikin ulang password trus
Nur intan Rochmakhidah352,12/11/2022 5:11,1,negatif,"Kenapa setelah di update malah tidak bisa transfer yaaa,,"
Safira Gusilas,12/11/2022 5:36,1,negatif,"GAK BISA DI GUNAKAN YA DEVELOPER, TOLONG DIBENERIN. THANKS"
Zikri Ilham Ramadhan,12/11/2022 5:45,1,negatif,"Udah 3 bulanan ga bisa pake, langsung keluar, udah install ulang os hp malah, belum instal aplikasi lain, langsung install livin mandiri tetap ga bisa dibuka langsung close"
Sapaat Aja,12/11/2022 5:47,2,negatif,Kenapa tidak bisa buat selfi pada saat pendaftaran tabungan baru lewat aplikasi
Rendy Pratama,12/11/2022 7:12,2,negatif,kenapa akhir akhir ini livin aplikasinya stak di awal doang
watu Alit,12/11/2022 7:23,1,negatif,"Setelah update kok ngk bisa login ke aplikasiny Slalu muncul keterangan ""livin by mandiri terus berhenti"" gitu trs"
Delik Ardiyanto,12/11/2022 7:49,5,positif,Sangat mudah dan aman
Davva Rizki,12/11/2022 7:54,1,negatif,"nasabahnya jangan d persusah dong, mau aktivasi aja ribet"
Sunah Ana,12/11/2022 8:40,5,positif,Apa-apa jadi mudah
Luthfi Khoirul Amir,12/11/2022 9:37,1,negatif,"Uang saya baru dikirim 500 buat byr kosan dari kampung, kebetulan kosan saya udh jatuh tempo. Pas saya mau narik eh transaksi gagal, tapi saldo saya udah kepotong. Pas tlpon cs katanya disuruh nunggu alhasil blm dibayar sampe skrng. Dan saya udah diusir dari kos. Merugikan nasabah aja"
Muhamad Ifan,12/11/2022 9:41,1,negatif,Sering eror
Arifin mz,12/11/2022 10:49,5,positif,"Bagus, perbanyak tautan ke e-walet lainnya, seperti shopee pay, isaku, dll"
ciung wanara,12/11/2022 11:24,3,negatif,Setelah selesai transaksi hp nge restar
Suteja Teja,12/11/2022 11:42,3,negatif,Susah masuk nya keluar teroooosss.... tolong di perbaiki dong....
Andri Setiawan,12/11/2022 11:42,1,negatif,Bug log out
Ilham Maulana,12/11/2022 11:45,1,negatif,Ngga bisa di buka pula mbaking ini
NANAS BOSOK,12/11/2022 11:52,1,negatif,Sering error
Uncle Motho,12/11/2022 11:58,5,positif,"Tinggal pake doang apa susahnya sih, karomen bae daria"
Thiago Banera,12/11/2022 12:17,5,positif,Sip banget
Julius Nyong05,12/11/2022 13:09,1,positif,Baik
Acil Vina,12/11/2022 13:28,4,negatif,Buat log in susah ???ù???ù suka error'
Fortuna Jaya,12/11/2022 13:53,1,negatif,"Trouble gak habis2.. terlalu sering.. ketika ada alat tp sering bermasalah,mending gak ada sekalian biar gak bikin jengkel.. ????????"
Yuliana Bogor,12/11/2022 14:28,5,positif,"Livin mandiri sangat membatu saya,terima kasih"
