No,userName,at,score,content,Sentimen
1,Achmad Basyori,12/11/2022,3,Bagus dan oke.. Tetapi kalau tiap bulan suruh update terus repotin juga yaa Apalagi jauh dari kota besar.. Loadingnya muter muter doang.. Mengganggu transaksi,negatif
2,Bu'ul??l?? 06,12/11/2022,5,Bagus,positif
3,Ariful Mufti,12/11/2022,1,"Kebanyakan pemotongan dana sepihak, bank gajelas",negatif
4,Muhammad Risqi,12/11/2022,2,"Kok gak bisa di buka yaa ada masalah apa sih sama livin,bisa bisa nya gak ada kartu debit nya dalam akun",negatif
5,Bella Nurhastuti,12/11/2022,1,"Sering gagal transfer, hari ini saya dianggap telat bayar spaylater gara2 sistem anda yg buruk!!!!",negatif
6,Faris Salim,12/11/2022,1,Aplikasi sampah ga bisa di gunakan saat situasi darurat jam 1 Ampe jam 4 malam sering error',negatif
7,Anzar Muh,12/11/2022,1,"Aplikasi sering trouble,, keknya pindah bank sebelah aja deh kalau kayak gini caranya",negatif
8,Atika Ulfahtul Khasanah,12/11/2022,2,"Gedeg banget, mau ngecek saldo malah gk bisa, malah tulisan coba kembali, gitu mulu apa2an dah! Awal nya gk bisa login, pas login malah saldo gk bisa muncul, tolong kebijakan nya sedikit!!!!!!!",negatif
9,Fahrur Rozi,12/11/2022,1,Makin susah diakses,negatif
10,Dheny Agustin,12/11/2022,1,Masa GK bisa cek saldo gmnah sih bos ko makin jelek ajah perbaharuin yang lebih normal LG dong bos,negatif
11,Rafanny van duen,12/11/2022,2,Sering gangguan... Ini aja gangguan lama banget...,negatif
12,R Gusti,12/11/2022,3,Awalnya baik baik saja tapi makin kesini ko kaya gagal untuk login atau masuk yaa?,negatif
13,Mr Dandi,12/11/2022,1,"Error nih aplikasi,mending aplikasi versi lama lebih bagus",negatif
14,Fahim Kuy,12/11/2022,1,Jelek,negatif
15,F.B. RAHMAYANI,12/11/2022,3,"Mengapa harus selalu wajib update, memori HP penuh, sehingga ketika mau pakai M-Banking tidak bisa.. ???????.. Bagaimana caranya agar tidak perlu update",negatif
16,Riqki Lian,12/11/2022,2,"Saya butuh bantuan pabak ibu, karna Livin saya tidak bisa dibuka",negatif
17,Eri,12/11/2022,1,Tidak bisa login,negatif
18,Dian Sari,12/11/2022,1,"Aplikasi di update malah jadi ribet, login berkali kali gagal, giliran udah berhasil login mau transaksi jadi dipersulit, untuk top up berkali kali gagal dulu, histori transaksi gk guna lagi, yang tadi nya mudah jadi super sulit",negatif
19,Heri Yanto,12/11/2022,2,"Saya mau tf tapi aplikasi tidak bisa di buka,berkali""sudah di coba tpi selalu ada perbaik an sedang di cek trus,tolong di perbaiki",negatif
20,WAHYU AZK,12/11/2022,3,Aplikasi langganan eror tiap malam .. up,negatif
21,mas bad,12/11/2022,1,"mau top up ewallet semuanya ngga bisa, terua fungsinya apaan ini aplikasi ?",negatif
22,Bewanolo Hulu,12/11/2022,5,"Karena adanya aplikasi Livin by mandiri ini mulai dari yang logo biru hingga kuning selalu membantu saya dalam kegiatan sehari-hari, walaupun banyak komentar yg kurang menyenangkan penggunaan tapi bagi saya cukup memuaskan dan memastikan dalam melakukan transaksi karena jika ada sedikit kelemahan saya selalu sabar sebab segala sesuatu ada waktunya dan yg lebihnya adalah meringankan dalam melakukan transaksi dan aktivitas lainnya. Semoga kita semua selalu bahagia dan bersyukur apa adanya.",positif
23,Elisabet Kristianti,12/11/2022,1,Bad sangat,negatif
24,aguz logen,12/11/2022,5,Saya terkendala pembukaan rekening di bagiam sms,negatif
25,Yuliana Bogor,12/11/2022,5,"Livin mandiri sangat membatu saya,terima kasih",positif
26,Fortuna Jaya,12/11/2022,1,"Trouble gak habis2.. terlalu sering.. ketika ada alat tp sering bermasalah,mending gak ada sekalian biar gak bikin jengkel.. ???­???­",negatif
27,Acil Vina,12/11/2022,4,Buat log in susah ?????? suka error',negatif
28,Julius Nyong05,12/11/2022,1,Baik,positif
29,Thiago Banera,12/11/2022,5,Sip banget,positif
30,Uncle Motho,12/11/2022,5,"Tinggal pake doang apa susahnya sih, karomen bae daria",positif
31,Qoriii,12/11/2022,3,"Sebelumnya baik"" aja, tapi akhir"" ini kog nggak bisa buat transaksi ya? Mau transfer tapi nggak bisa",negatif
32,NANAS BOSOK,12/11/2022,1,Sering error,negatif
33,Ilham Maulana,12/11/2022,1,Ngga bisa di buka pula mbaking ini,negatif
34,Andri Setiawan,12/11/2022,1,Bug log out,negatif
35,Suteja Teja,12/11/2022,3,Susah masuk nya keluar teroooosss.... tolong di perbaiki dong....,negatif
36,ciung wanara,12/11/2022,3,Setelah selesai transaksi hp nge restar,negatif
37,Arifin mz,12/11/2022,5,"Bagus, perbanyak tautan ke e-walet lainnya, seperti shopee pay, isaku, dll",positif
38,Muhamad Ifan,12/11/2022,1,Sering eror,negatif
39,Luthfi Khoirul Amir,12/11/2022,1,"Uang saya baru dikirim 500 buat byr kosan dari kampung, kebetulan kosan saya udh jatuh tempo. Pas saya mau narik eh transaksi gagal, tapi saldo saya udah kepotong. Pas tlpon cs katanya disuruh nunggu alhasil blm dibayar sampe skrng. Dan saya udah diusir dari kos. Merugikan nasabah aja",negatif
40,Sunah Ana,12/11/2022,5,Apa-apa jadi mudah,positif
41,Davva Rizki,12/11/2022,1,"nasabahnya jangan d persusah dong, mau aktivasi aja ribet",negatif
42,Delik Ardiyanto,12/11/2022,5,Sangat mudah dan aman,positif
43,watu Alit,12/11/2022,1,"Setelah update kok ngk bisa login ke aplikasiny Slalu muncul keterangan ""livin by mandiri terus berhenti"" gitu trs",negatif
44,Rendy Pratama,12/11/2022,2,kenapa akhir akhir ini livin aplikasinya stak di awal doang,negatif
45,Sapaat Aja,12/11/2022,2,Kenapa tidak bisa buat selfi pada saat pendaftaran tabungan baru lewat aplikasi,negatif
46,Zikri Ilham Ramadhan,12/11/2022,1,"Udah 3 bulanan ga bisa pake, langsung keluar, udah install ulang os hp malah, belum instal aplikasi lain, langsung install livin mandiri tetap ga bisa dibuka langsung close",negatif
47,Safira Gusilas,12/11/2022,1,"GAK BISA DI GUNAKAN YA DEVELOPER, TOLONG DIBENERIN. THANKS",negatif
48,Nur intan Rochmakhidah352,12/11/2022,1,"Kenapa setelah di update malah tidak bisa transfer yaaa,,",negatif
49,ryo soeandhika,12/11/2022,1,aplikasi ga jelas masa tiap mau login selalu salah password sma disuru bikin ulang password trus,negatif
50,Ari Tobulus Tri Berlian Purba,12/11/2022,1,Gak bisa daftar untuk akses foto tinggal harap perbaiki lagi yah,negatif
51,Anang Setyowahyudi,12/11/2022,1,"Top up pulsa gk masuk,, tolong di perbaiki",negatif
52,syafrizal efendi,12/11/2022,1,Aplikasi yang buruk,negatif
53,Aris Verlando Setiawan,12/11/2022,1,Untuk ngirim ke akun dana selalu gk bisa. Mana sekarang transaksi d atas jm 22.00 Gk bisa d gunakan. Makin lama harusny makin bagus bukany makin ancur bgni,negatif
54,Josua Simbolon,12/11/2022,5,bagus bgt ni aplikasi. bisa semua,positif
55,I Wayan Suarjaya Suarjaya,12/11/2022,1,"Transaksi out saya muncul, masuk?",negatif
56,dila azs87,12/11/2022,2,"Lagi gangguan, ga bisa buat topup dana anjay.. udah semingguan lebih",negatif
57,Aliya Mukti,12/11/2022,1,Rusak .... Vermuk gak bisa teruss....,negatif
58,TOYOTA Lets Go Beyond,12/11/2022,1,Kesel banget livin kuning skrng susah bgt buat akses selalu mental aplikasi mesti berulang2 kali.... Pdahal sering diupdate aplikasi ny,negatif
59,M Ariva Maulana,12/11/2022,5,Bagus apknya,positif
60,Agum Gumelar,12/12/2022,1,Kenapa saya tidak bisa top up padahal no dana saya itu benar,negatif
61,Suhendri Hendri,12/12/2022,5,Ok,positif
62,Alung 2073,12/12/2022,1,Bintang 1 dl,negatif
63,Abdul Hamid,12/12/2022,3,"berharap ada perbaikan aplikasi, karena ketika di buka, tampilan saldo dan tabungan tidak bisa di tampilkan",negatif
64,Sri Widayati,12/12/2022,5,Puas,positif
65,Almeera Alfathunisa,12/12/2022,2,"Bagaimana ya tidak bisa d akses ,, manasaya blm ada karti debit nya ,, sayamau tf uang gk bisa",negatif
66,Muh Afwan,12/12/2022,1,Aplikasinya jelek,negatif
67,adit wardana,12/12/2022,1,Kalo malam suka susah login.. Bank terbesar se-Indonesia tapi aplikasinya a#@*$ miris!!,negatif
68,Marwah,12/12/2022,5,good,positif
69,Engla Febryo,12/12/2022,1,bermasalah,negatif
70,Donny Donn,12/12/2022,1,"Selalu eror, gak jelas banget ini aplikasi. Buruk",negatif
71,gin ginanjar,12/12/2022,1,Kenapa setiap jam 2 mlm selalu gangguan. Gmn klo ada kondisi darurat harus tf. Becus ga sih. Sampai ga bisa standby 24 jam.,negatif
72,Rizky Utami,12/12/2022,1,Kenapa selalu eror,negatif
73,Yunus Amrozi,12/12/2022,1,Topup dana gagal tpi saldo berkurang...ini gimana maksutnya.,negatif
74,N official,12/12/2022,1,apk tolol bug ae terus,negatif
75,ATA KITA,12/12/2022,1,Kenapa Setiap Kali Login Livin' By Mandiri baru saja 2 detik aplikasinya keluar dengan sendirinya. Mohon dibantu yaa...,negatif
77,Persib Bandung,12/12/2022,4,Ko gak bisa kebuka livin,negatif
78,Den DeDe,12/12/2022,1,livin gk bisa top up sekarang,negatif
79,Abdul Rozaq,12/12/2022,2,Kenapa buat login keluar sendiri ya.tolong diperbaiki lagi untuk aplikasinya mobile,negatif
80,Agung Wibowo,12/12/2022,1,Makin hari makin buruk untuk pelayanannya...,negatif
81,Aileen Emma,12/12/2022,1,"Kenapa yaaa, aku mau log in tapi suruh diulang terus buat ganti password. Gila aja, uda ku ganti berkali2???? sudah tiga kali jugaa???? bantuin dong mohon ditanggapi dan segera diperbaiki app nya!!!!",negatif
82,Syahriel Rezz,12/12/2022,1,ribet bgt nih Livin,negatif
83,PARDA SITEPU,12/12/2022,1,"Terlalu banyak gaya aja aplikasi ini, hari2 error mulu,, IT nya ga pakai....",negatif
84,Yulyan Urbata,12/12/2022,3,Sangat mudah digunakan,positif
85,Rian Hidayatuloh,12/12/2022,3,Sanget membantu sekali gk perlu ke ATM cukup buka aplikasi ini beres klo mau perbayar transaksi ny bagus sanget membantu sekali,positif
86,Elsa Darmawan,12/12/2022,5,Sangat membantu,positif
87,¦M ??WarGod?? Wea,12/12/2022,5,Napa GK bisa masuk yh,negatif
88,Ahmad Safii,12/12/2022,1,Fitur y mkin jjlk kesininya,negatif
90,Rico Pame,12/12/2022,1,"lama lama ini aplikasi bukannya ada kemajuan, malah nyusahin!!! livin saya gabisa di akses. baru di klik langsung force close!! di coba install ulang beberapa kali dan di coba klik logo livin malah Livin By' Mandiri keeps stopping!!",negatif
91,Joko Tingkir,12/12/2022,1,Transfer ke rekening BPJS gagal tapi uang tetap di potong. Bukan nya mempermudah tapi buat susah ngurusin nya kesana ke mari.tolong dong di perbaiki lagi sistem nya,negatif
92,ilmah ilmah,12/12/2022,3,Mantap,positif
93,ananto wahyu,12/12/2022,5,Semakin maju by mandiri,positif
94,Rendy Firmansyah,12/12/2022,5,Seeep,positif
95,Hiruzen Sarutobi,12/12/2022,3,Aplikasinya aneh udah disambungin sama e-wallet tapi giliran top up harus masukin nomornya lagi ribed ga bisa nyimpen riwayat top up yg langsung memasukkan nominal transaksi,negatif
96,Anggara Sm,12/12/2022,1,setelah update malah jadi susah untuk di akses.,negatif
97,Abdul manan Abdul manan,12/12/2022,5,Good lahh poko nya,positif
99,A Ntet DM,12/12/2022,3,Min kenapa di Livin kami tidak ada menu lainnyauntuk mengajukan kartu kredit?,negatif
100,Amrozi Subing03,12/12/2022,3,Mengapa Livin saya gagal selalu untuk pendaftaran pada saat scan wajah.,negatif
102,Sabar Aku,12/12/2022,5,Apk yang bagus,positif
103,CHANNEL BARAYA TV,12/12/2022,1,Susah transfer susah di login ampun dahhh,negatif
104,Mafut Soleh,12/12/2022,5,Selama pake livin sangat lah membantu untuk transaksi jayalah terus mandiri,positif
105,TOKO M NUR SHIFA,12/12/2022,4,livin kuning sering error.. coba tgl 09-12-22..tolong donk sampaikan pihak IT nya biyar cepat ditangani..ini aplikasi bank seharusnya harus lebih cepat ditangani..kenapa sampai sekarang mutasinya masih error teruss...,negatif
106,naelil hikmah,12/12/2022,2,Maaf tolong ini gmana yaa ko saya ga bisa top up si gagal terus hampir smpe 5x,negatif
107,sudiyono sudiyono,12/12/2022,4,Blm bisa bisa,negatif
108,Hayyun Sartika,12/12/2022,1,"Setelah di update jadi nggak bisa di gunakan lagi,,, Sering forclose sendiri,,, Tolong di perbaiki lagi sistem nya Ke banyakan big nya",negatif
109,Febin Widya,12/12/2022,1,Gak bisa login,negatif
111,rudi andrawin,12/12/2022,1,Biasanya cepet tapi kenaa sekarang susah dibukanya? Di log in keluar mulu,negatif
112,Andikha Stevefane,12/12/2022,1,"mau transfer gagal terus, mau top up gagal terus juga, isi e-money gak bisa",negatif
113,Murdis Kasra,12/12/2022,1,Livin mandiri saya GK bisa di buka,negatif
114,inara diastika,12/12/2022,1,Ribet kau vertifikasi wajah gagal terus bank besar ko pelayanan kaya bank ecek2 otw ganti BCA saja lah,negatif
115,misbahuddin,12/12/2022,5,Tidak bisah di buka,negatif
116,tito andriant,12/12/2022,1,Payah,negatif
118,TIYAH TIYAH,12/12/2022,5,Sangat membantu dan bagus smga slalu lancar trus???ý,positif
119,tonyster sevenfold,12/12/2022,1,"Lemot parah , sering gangguan",negatif
